timestamp,commit_sha,device,seed,router,module_expansion,expansion_threshold,expansion_cooldown,max_modules_per_layer,num_tasks,epochs_per_task,batch_size,lr,optimizer,task0_acc,task1_acc,task2_acc,task3_acc,task4_acc,final_avg_acc,final_forgetting,final_params,peak_params,train_time_s,peak_vram_mb,lit_paper_key,lit_reported_avg_acc,protocol_match,notes
20251022_173655,0720416921adff886fe33ad88f7b01bae3535063,cpu,123,none,off,0.2,1,1,5,2,64,0.0003,adam,0.9470449172576832,0.9613124387855044,0.9967982924226254,0.9954682779456193,0.9939485627836612,0.9789144978390187,0.02173387976343727,478410,478410,9.347784996032715,,,,no,
20251022_173655,0720416921adff886fe33ad88f7b01bae3535063,cpu,agg_mean,none,off,0.2,1,1,5,2,64,0.0003,adam,0.9470449172576832,0.9613124387855044,0.9967982924226254,0.9954682779456193,0.9939485627836612,0.9789144978390187,0.02173387976343727,478410.0,478410.0,9.347784996032715,,,,no,
20251022_173655,0720416921adff886fe33ad88f7b01bae3535063,cpu,agg_std,none,off,0.2,1,1,5,2,64,0.0003,adam,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,no,
